3/1/16	433								
3/1/16	650	3/2/16	650	3/3/16	650	3/4/16	650	3/5/16	650
3/1/16	2697								
3/1/16	3124								
3/1/16	3162	3/2/16	3162	3/3/16	3162	3/4/16	3162	3/5/16	3162
3/1/16	4413	3/2/16	4413	3/3/16	4413	3/4/16	4413	3/5/16	4413
3/1/16	5026								
3/1/16	5478	3/2/16	5478	3/3/16	5478	3/4/16	5478	3/5/16	5478
3/1/16	5509	3/2/16	5509	3/3/16	5509	3/4/16	5509	3/5/16	5509
3/1/16	5990	3/2/16	5990	3/3/16	5990	3/4/16	5990	3/5/16	5990
3/1/16	6030								
3/1/16	7460	3/2/16	7460	3/3/16	7460	3/4/16	7460	3/5/16	7460
3/1/16	7865	3/2/16	7865	3/3/16	7865	3/4/16	7865	3/5/16	7865
3/1/16	7897	3/2/16	7897	3/3/16	7897	3/4/16	7897	3/5/16	7897
3/1/16	7978	3/2/16	7978	3/3/16	7978	3/4/16	7978	3/5/16	7978
3/1/16	8150	3/2/16	8150	3/3/16	8150	3/4/16	8150	3/5/16	8150
3/1/16	8878	3/2/16	8878	3/3/16	8878	3/4/16			
3/1/16	9630	3/2/16	9630	3/3/16	9630	3/4/16	9630	3/5/16	9630
3/1/16	11209	3/2/16	11209	3/3/16	11209	3/4/16	11209	3/5/16	11209
3/1/16	11587	3/2/16							
3/1/16	12371	3/2/16	12371	3/3/16	12371	3/4/16	12371	3/5/16	12371
3/1/16	12423	3/2/16	12423	3/3/16	12423	3/4/16	12423	3/5/16	12423
3/1/16	16014	3/2/16							
3/1/16	18050	3/2/16							
3/1/16	19516	3/2/16							
3/1/16	19773	3/2/16	19773	3/3/16	19773	3/4/16	19773	3/5/16	19773
3/1/16	19963	3/2/16	19963	3/3/16	19963	3/4/16	19963	3/5/16	19963
3/1/16	20811	3/2/16	20811	3/3/16	20811	3/4/16	20811	3/5/16	20811
3/1/16	20888	3/2/16	20888	3/3/16	20888	3/4/16	20888	3/5/16	20888
3/1/16	21372	3/2/16	21372	3/3/16	21372	3/4/16	21372	3/5/16	21372
3/1/16	21743	3/2/16							
3/1/16	22165	3/2/16	22165	3/3/16	22165	3/4/16	22165	3/5/16	22165
3/1/16	22467	3/2/16							
3/1/16	22750	3/2/16							
3/1/16	22780	3/2/16							
3/1/16	22917	3/2/16	22917	3/3/16	22917	3/4/16	22917	3/5/16	22917
3/1/16	22949	3/2/16	22949	3/3/16	22949	3/4/16	22949	3/5/16	22949
3/1/16	24095	3/2/16	24095	3/3/16	24095	3/4/16	24095	3/5/16	24095
3/1/16	24576	3/2/16	24576	3/3/16	24576	3/4/16	24576	3/5/16	24576
3/1/16	25226	3/2/16							
3/1/16	26093	3/2/16	26093	3/3/16	26093	3/4/16	26093	3/5/16	26093
3/1/16	26170	3/2/16							
3/1/16	26468	3/2/16	26468	3/3/16	26468	3/4/16	26468	3/5/16	26468
3/1/16	26955	3/2/16							
3/1/16	27064	3/2/16	27064	3/3/16	27064	3/4/16	27064	3/5/16	27064
